,package,last_month,last_week,last_day
napari-workflow-inspector,napari-workflow-inspector,191,31,1
recOrder-napari,recOrder-napari,192,7,1
napari-stracking,napari-stracking,199,31,16
napari-live-recording,napari-live-recording,207,31,18
napari-matplotlib,napari-matplotlib,229,19,2
napari-aicsimageio,napari-aicsimageio,236,60,1
napari-manual-transforms,napari-manual-transforms,245,12,6
napari-pram,napari-pram,278,11,0
cellfinder-napari,cellfinder-napari,281,35,1
napari-clusters-plotter,napari-clusters-plotter,324,36,1
devbio-napari,devbio-napari,337,20,1
napari-psf-simulator,napari-psf-simulator,357,23,1
napari-simpleitk-image-processing,napari-simpleitk-image-processing,365,96,1
napari-segment-blobs-and-things-with-membranes,napari-segment-blobs-and-things-with-membranes,373,38,2
napari-sim-processor,napari-sim-processor,377,97,39
napari-ome-zarr,napari-ome-zarr,402,125,3
brainreg-segment,brainreg-segment,451,205,6
stardist-napari,stardist-napari,471,108,12
napari-roi-registration,napari-roi-registration,505,63,2
napari-accelerated-pixel-and-object-classification,napari-accelerated-pixel-and-object-classification,541,83,2
napari-ndtiffs,napari-ndtiffs,637,221,4
napari-pyclesperanto-assistant,napari-pyclesperanto-assistant,672,108,3
brainglobe-napari-io,brainglobe-napari-io,703,236,5
napari-time-slicer,napari-time-slicer,709,84,2
bfio,bfio,890,262,26
psfmodels,psfmodels,930,72,0
vollseg-napari,vollseg-napari,1053,204,12
napari-assistant,napari-assistant,1067,129,3
napari-skimage-regionprops,napari-skimage-regionprops,1723,171,4
PartSeg,PartSeg,1835,538,6
